Dataset Name,Year,Source,Provider,Task Type,Dialect,License,Bias Risk ,Paper Link,Host,Language,Collection ,Domain,Form,
ANERcorp,2020,Masader,NYU Abu Dhabi University,named entity recognition,MSA,CC BY-SA 4.0,Low,https://aclanthology.org/2020.lrec-1.868.pdf,CAMeL Resources,ar,crawling,news articles,text,upon request
WojoodHadath,2024,Masader,"SinaLab,Birzeit University","language modeling,tokenization,named entity recognition,natural language inference",Mixed,CC BY 4.0,Low,https://arxiv.org/pdf/2407.21153,CAMeL Resources,ar,crawling,news articles,text,
Dataset for evaluating root extraction,2018,Masader,unknown,lemmatization,MSA,CC BY 4.0,Low,,GitHub,ar,other,other,text,
Coronavirus,2020,Masader,Imam Mohammad Bin Saud University,"text generation,language modeling",Mixed,CC BY-NC-SA 4.0,Low,https://www.preprints.org/manuscript/202004.0263,GitHub,ar,other,social media,text,
AFND,2022,Masader,Multiple Institutions,fake news detection,Mixed,CC BY 4.0,Low,https://pdf.sciencedirectassets.com/311593/1-s2.0-S2352340922X00036/1-s2.0-S2352340922003493/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEP7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIDyrxpj95fVbPrFbtgZdtLMG28%2FBirzlFpNm9tJDY%2FytAiEAvzw%2BavTcgkvl1LId3jpg5wgbWYxoeVmE4c5jMRDroXgqvAUIt%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDI8iE0HgETdaARmkniqQBbKDCC%2BcobP2%2F85PBx9Jtc3TUKgFydwL33BnNh%2B3FNMaDhwPfSmC1%2FjACZJFe1XVXCmOo%2FFY9VXNLR296Z2iKbB7WivoymK4miftwm6Y4RPDHId7%2BREYzVSKSPg3VZ%2FR5zLZI1xaX15TwRgkJxjXnf%2BasBZphOrQwVs8gnGqF3QbYRTzAkdDcrfp9zZ3rN%2FAG4CYUPvm0CG0DgXjAwGgG68sGM4xmDvF6w058SqkCYVOgh6IP1Evq6GVn6LnM99Hv6Q4fgRVnNaazdqcE%2F3MSOiMYsYt1oWUJvbVYfaAA3%2BVfPVhjT9nR413OKFFxr0IXsj5Dr0rDXLazt3jbLn%2FqxHgQcjBAt68T11xSM9WBPIR%2FnWWn0pnriFiVblDWiyumH5kAxgLLAC0PD4VLADimXkjSURzfhuUTSKknXQJrIaLan4OvOZDWAD%2Fp88tFGEP4PeCslAHVzT533ePh0nfvn8HiWNO2pCkCBwVwrdQuYaoWw1%2BCst2KCRPVp%2F5GCQUMIypEPZ%2F4kvaEglOH4Gxg20JrgASGuIHEdiYQyhxa7yJ5nE4S%2BiWE7%2B%2BPdTfUc%2Bb%2Fa4udHTeHX0WhMhfEO%2FShx9RL%2FycdvSphy2VB%2BeJeWFXvmM%2BLtcZLnperDdiXqS9T9uVhckQ4UG7H7cyGfEef5QBfXRn36nKqepYorCgatyis%2BDRLdv2cD7YvmSJgJvRH6CRmC4DWL24wpJhCdhk038X2ZIPp9r%2FHjJcWMSZn87xiPp1RMYedsEN0YVs23TCUqg%2B54iEjWW5Zi7HXLpX3RMxiZK%2FqkdjtA%2F4ye5Xn5KpGN5zgJd%2F3mKxHTR%2B3UVrw7O6ejgWAZRGjXyC7mFRHkXI1Z93RmfjmB85LoDiCoARMOungcgGOrEBoOWwVmtcAEeyMq1QGcQoblbtaBGmTNkScxj5ZqW9w%2FRq9QprmCkXdAKOJ2QeRS8goNP22C0lK5Tx56lcYsSeIAqtj%2BhXshHxTN8BEOUzYcO55DjrqloL1nYwbA5oAsTPY2BIjKtOlPWs8gJ%2BlQKNawTtRmL8HrCQlq9wlFvHgz%2BgS6%2Fr%2FhBDVioQ%2BdRcfty0HUDT%2Bd%2Ba7HybLRHc0mqsIigFB7WTzeZ%2BWLPNdOV0AVz6&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251028T055905Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYXFZKMDWA%2F20251028%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=4f5fbc295feb7c9cdd271765c42b370aa1b149a26379b353b44c954bf824159b&hash=de51a216a91175fbd038fa62a8d99f522ed566987f6e2f2b9608c04d53c595ae&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2352340922003493&tid=spdf-0b8c76ad-04c5-4a8a-9ee2-1821397b84c1&sid=886a3d798502f042d89a76b-455884c77d59gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1e1e5c5a5a565c535404&rr=9958347fdce3a96f&cc=dz,Mendeley Data,ar,crawling,news articles,text,
toxi-text-3M,2023,Masader,unknown,toxicity detection,Mixed,Apache-2.0,Low,,HuggingFace,multilingual,crawling,social media,text,
OSCAR-2201,2022,Masader,unknown,"text generation,language modeling",Mixed,CC0,Low,https://arxiv.org/pdf/2201.06642,HuggingFace,multilingual,crawling,web pages,text,upon request
NADiA,2019,Masader,University of Sharjah,text classification,MSA,CC BY 4.0,Low,,Mendeley Data,ar,crawling,news articles,text,
Shamela et al Arabic Corpus,2018,Masader,unknown,"text generation,language modeling",Classical Arabic,CC BY 4.0,Low,,GitHub,ar,crawling,other,text,
Tatoeba Translation Challenge,2021,Masader,Language Technology at the University of Helsinki,machine translation,MSA,CC BY-NC-SA 4.0,Low,,GitHub,multilingual,other,other,text,
GEM - WikiLingua,2020,Masader,Multiple Institutions,summarization,MSA,CC0,Low,https://aclanthology.org/2020.findings-emnlp.360.pdf,GitHub,multilingual,crawling,wikipedia,text,
Wikipedia,2022,Masader,Wikimedia,"text generation,language modeling",MSA,CC BY-SA 3.0,Low,,other,multilingual,crawling,wikipedia,text,
CLEANANERCorp,2024,Masader,IWAN,named entity recognition,MSA,LGPL-3.0,Low,https://aclanthology.org/2024.osact-1.2.pdf,GitHub,ar,other,other,text,
TaPaCo,2020,Masader,University of Helsinki,paraphrase identification,MSA,CC BY 2.0,Low,https://aclanthology.org/2020.lrec-1.848.pdf,zenodo,multilingual,other,other,text,
Speech-MASSIVE,2024,Masader,Naver Labs,speech recognition,Saudi Arabia,CC BY-NC-SA 4.0,Low,https://arxiv.org/pdf/2408.03900,HuggingFace,multilingual,other,other,text,
CrossSum,2021,Masader,Multiple Institutions,summarization,MSA,CC BY-NC-SA 4.0,Low,https://arxiv.org/pdf/2112.08804,GitHub,multilingual,crawling,news articles,text,
MetRec,2020,Masader,kfupm,meter classification,Classical Arabic,MIT License,Low,https://pdf.sciencedirectassets.com/311593/1-s2.0-S2352340920X00060/1-s2.0-S2352340920313792/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIBvZEP0P9HQ%2FlRnAV3Y3%2FbOR%2FUce1xQOiJRaCAIkdNuRAiBUV6Jd%2BDeL5k17b%2BbgYZtjrF5SobqmNyFejGMjfw0Kniq8BQi3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIM%2FWHe7qdr9%2B0YSf8RKpAFotBAzfZkinTDbCJoZnlJiuk7uR1uvMGtKTLki4vSqbGWbFaA2cy4vbJZkUrpy03pFsk6B5pBGlgxApd%2Fgc2IWM90LyQkaheXDA7txzKPGYWhHbL4L86tvbdWosmPMhUuveWEY4bTpoeiETGvkz6phSvcbsPQ7fUX5pABFdTY1cbj0n%2B2eIgY%2BaW0IZmx%2FdeNYhU3S100Ub%2F9tsjtsa5CN8ehsj5mwjl9o0%2Bca6cdvoNqrdzi9xo6PTYglujOTyDAUGpuQKlR7y7kMHj0wa9cKkjnZPCfout8VmBKHB3%2BzpIUd%2BM1aP3eeU2A931M8N1CJsSeSBplpWJGJV4G657niOEQ4%2FsV0Pu3dyucdCxQs%2BQ41D9kV1Gzlr8xv4KEwqQUwku%2FiTe0oKaoPcwZw4TxcAZJIcJ0snaX%2FcKbwSvSRiQTVFETH%2FkfT6zVj8Uil40DoDYyJiIGgcEy9JA7soZ0bTrVAEEeOQ48cG0lQEknUZfsujNnAHLm92ymsrbkEqNBJHsxr5lis3QeEMKgjwWc18%2FXYQ6VcFhOeSLrKVfEZuIVvF%2BqN94iVoxur2wUJxQNkc1vnnEHr9Cggq%2BOj5mlwIiC7RBtnxovzCp%2BsvPRzr69yqES9xZ721PJh3vNSFojdzzS3giOEuXkVbglCVw0Ujrc1PfqnW22XiUjgZAxDmruaDOs9d81ES9HstT2o5Qk%2F1wuU613Fyvtqktx8eZpc3yVrLjIIFT9Vr141Ywgrkt4jonnzr3%2FQNtyE7fKluu4wLP4KkLfSykBiTGe9iBM1b3sek%2FlZNWOk8Usiy%2BoemkPXRM1mmn6gxTgeFiNdvloTYEae0Qwtlz2df2wmMLk7S%2FoHbVXq4sZvR7td8444%2FUwib2ByAY6sgFv7UN3ZVWCt%2BBaIGPqkO07J0zXiE0%2FWc57FEEeHG0iw8NP9nIPPfk0YsI1KjF5g1UU66owlXWp%2FF3BZMd2NEH1hl0Q24yznaDltTZ3wIk9ohJehtAF2k2OOFbbSDd9ti2xmYDXqWspY%2Bfvv1r30844mYBv9fyMQFLZ3qnEbDC22wj8oiaSAazZS5rIvDaWGguppcawGOuwwTK9ImIMUXt2237vtJwC52UET1fB%2Bz0djpyH&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251028T070128Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY56TMRUK2%2F20251028%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=b8779719519ef4896a0a7b5f8e86d559a32f1c8484f6dbb69a72642bfd981e85&hash=06c93722c994f9c0bfd345a0605dc5a63a4dcac83bbdb8c96c1cefd3a8c1797b&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2352340920313792&tid=spdf-1ba7cd5a-8a37-4900-9279-cf84b90c84e2&sid=886a3d798502f042d89a76b-455884c77d59gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1e1e5c5a5a5657010655&rr=99588fe73c0da969&cc=dz,GitHub,ar,crawling,other,text,
AOC-ALDi,2023,Masader,University of Edinburgh,dialect identification,Mixed,MIT License,Low,https://aclanthology.org/2023.emnlp-main.655.pdf,GitHub,ar,crawling,commentary,text,
PTCC,2024,Masader,unknown,"machine translation,language modeling,dialect identification,text generation",Tunisia,MIT License,Low,,HuggingFace,ar,other,other,text,
xSID - (X) Slot and Intent Detection,2021,Masader,unknown,intent detection,MSA,CC BY-SA 4.0,Low,https://aclanthology.org/2021.naacl-main.197.pdf,GitHub,multilingual,human annotation,other,text,
WSD,2024,Masader,Zayed University,"machine translation,sentiment analysis,word sense disambiguation,spam detection",MSA,CC BY-NC 4.0,Low,https://pdf.sciencedirectassets.com/311593/1-s2.0-S2352340924X00049/1-s2.0-S2352340924005584/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQC5hjKrzn2vk2ZcEM7Mrng1ELkFVsSSTlIKQHHWj15jzgIhANm7I1pz2%2Fi118npwHxNeYmpTwJDlRrd6WBFRyTYUzCeKrwFCLf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgwUQe51oOs2g%2FxwxXsqkAUA1SHdYIO8fiVA90pdqu3dlNhx2Cu6HoA3Xb%2F8hv0pWnkP65fHb0YZ4TBg57qwtV2bh0d6%2FJdh%2FpI6FfQqG4Qmt4B%2BsfZ1elyB4t8aW%2FBoyMceXX9SVsNlptzSP6tVUnwcw0vCI7FV69kw12kwLgpSF3IBah0zsyLhCyrH6CdlwLxqChtZuImXTLJAmiDsQEkCGQn18JcFtfmNxSZ8i1JYeSfJl4fT%2BSsF6BfMnEpKLf7E7njGjjI4gA05kdgjKawDGsFL5lQ2l0YNOxLlwvzUqlfFgQ72rurHWN1tQA56OxG1qmwADnF4wmGxUFLCFQ2DLslR5obiy13%2FhvSoFJDS%2FxdNAWQNd%2BBdwkkAm6QbbJw2PaQP0oqcajHeXH5h2ckWipB9zqC0ySZZnCPlvNP4i0LWa%2FQEctFOfh%2Bj7k9vrDvCOVQyXcJ7I4J4S%2BPNM6WcrL1Vt7Hz%2BWs%2FICxK%2FUKOPNxnMuzlt5icqWj8PAYKrDD6Amnwbs6rHkzaC98qW3hPyxwtmH3guco4iT%2B677gibaBecFQqJNYwU%2FRIxS%2FoQi8CUKfFEWDDCOd7t3EBz4hlrqn5%2B%2Ba6hj3ZMCzE%2BYScagNoA%2BV2%2F100xLvom9sLRUNqpozWvliDi%2FSK6IJOKsuF3LfhEXOzMFAYtlZ1VXB%2FNVI7%2FkAFYMHYmFQreXfl4fIZoSiTIsukgsQBTObmjVD%2BWdTxIa0oLzvKF2EDvptiOTlcqVnLzD%2BAIQLGOAykhlBeb20dHFseQbWN0rwQ03JhFWL0s7%2BXVeEX7D1y%2F4PgR4405jbkolGynfZBSJXFZ672sFcIwGptdUSjDtkHUHJNeh%2FJqxa625WviMErtb79MS49imNqk0PvFW0%2FF3blPTD1wIHIBjqwAbcm7u8UgQAaQkWE3Kilqcwv28T%2Bp5OegDmmxzEJhkpuQSsnc0g0UGekkFy%2F0x62kwrEPL9uB3y8bnbg%2B%2Bx9DZXZyfwIucTJpueQlp38ZeUjEcowECVLGf8RLGpmgfdbZRqph6Mp2q8WPlU9sEMPSxaesneBQggemeJ1UtImmBtx%2BG5pTmc9HGGQdEM7N0kNEoMRpHrqsu%2BOIX2xNx4HmdZldNVm0UekUBRPWkEBWY64&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251028T071503Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYQVGTUCRP%2F20251028%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a57baad85afb5efee3d928b172f8f32c11eb61c670a938500d63d4facbca3386&hash=9acfc7024d1fa4e623dde4df713551cd636ef55ea4508433e453a4d6c53d9159&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2352340924005584&tid=spdf-4dc6a021-a629-49d9-8878-597ed2a8b20d&sid=886a3d798502f042d89a76b-455884c77d59gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1e1e5c5a5a560e540001&rr=9958a3ccdcafa96c&cc=dz,Mendeley Data,ar,"crawling,human annotation",other,text,
EXAMS,2020,Masader,Multiple Institutions,question answering,MSA,CC BY-SA 4.0,Low,https://arxiv.org/pdf/2011.03080,GitHub,multilingual,other,other,text,
Moroccan_Arabic_Wikipedia_20230101_nobots,2023,Masader,Clarkson University,language modeling,Morocco,MIT License,Low,https://aclanthology.org/2023.arabicnlp-1.19.pdf,HuggingFace,ar,manual curation,wikipedia,text,
Arabic Text Diacritization,2019,Masader,JUST,diacritization,MSA,MIT License,Low,https://arxiv.org/pdf/1905.01965,GitHub,ar,other,other,text,
ATAR,2021,Masader,Multiple Institutions,transliteration,Mixed,Apache-1.0,Low,https://ijece.iaescore.com/index.php/IJECE/article/view/22767/14781,GitHub,ar,manual curation,other,text,
MLDR,2024,Masader,unknown,information retrieval,MSA,MIT License,Low,https://arxiv.org/pdf/2402.03216,HuggingFace,multilingual,other,other,text,
AlRiyadh-Newspaper-Covid-Dataset,2021,Masader,unknown,language modeling,MSA,CC BY 3.0,Low,,GitHub,ar,crawling,news articles,text,
OASST2,2023,Masader,unknown,text generation,MSA,Apache-2.0,Low,,HuggingFace,multilingual,manual curation,other,text,
The Arabic E-Book Corpus,2024,Masader,unknown,"language modeling,topic classification,language identification",MSA,CC BY 4.0,Low,,other,ar,crawling,books,text,
ArabicaQA,2024,Masader,Multiple Institutions,question answering,MSA,MIT License,Low,https://arxiv.org/pdf/2403.17848v1,GitHub,ar,crawling,wikipedia,text,
MFQA,2021,Masader,University of Antwerp,question answering,Mixed,CC0,Low,https://arxiv.org/pdf/2109.12870,HuggingFace,multilingual,crawling,web pages,text,
TYDIQA,2020,Masader,Google,question answering,MSA,Apache-2.0,Low,https://storage.googleapis.com/tydiqa/tydiqa.pdf,GitHub,ar,crawling,other,text,
MKQA,2020,Masader,Apple,question answering,Mixed,CC BY-SA 3.0,Low,https://arxiv.org/pdf/2007.15207,GitHub,multilingual,human annotation,other,text,
AFRD: Arabic Fake Reviews Detection,2024,Masader,Qassim University,"sentiment analysis,dialect identification,review classification,gender identification",Saudi Arabia,CC BY 4.0,Low,https://www.sciencedirect.com/science/article/pii/S1319157824000156,GitHub,ar,other,reviews,text,
Gazelle,2024,Masader,UBC-NLP,instruction tuning,MSA,CC BY-NC-ND 4.0,Low,https://arxiv.org/pdf/2410.18163,other,multilingual,manual curation,other,text,
Lisan,2023,Masader,"SinaLab,Birzeit University","language modeling,dialect identification,tokenization,part of speech tagging,morphological analysis",Mixed,CC BY 4.0,Low,https://arxiv.org/abs/2212.06468,CAMeL Resources,ar,crawling,social media,text,
ARC-WMI,2018,Masader,King Saud University Riyadh,readability assessment,Mixed,CC BY-NC-SA 4.0,Low,http://lrec-conf.org/workshops/lrec2018/W30/pdf/9_W30.pdf,GitHub,ar,crawling,other,text,
Qatari heritage corpus,2020,Masader,Hamad Bin Khalifa University,machine translation,Qatar,CDLA-Permissive-1.0,Low,https://aclanthology.org/2020.osact-1.4.pdf,data.world,ar,crawling,other,text,upon request
arparallel,2018,Masader,Carnegie Mellon University,"machine translation,summarization,text simplification,language modeling,information retrieval",MSA,CC BY 3.0,Low,https://www.sciencedirect.com/science/article/pii/S1877050918321914?ref=pdf_download&fr=RR-2&rr=9959466b1de9a96a,other,ar,"crawling,machine annotation",other,text,
XNLI,2018,Masader,"Facebook,NYU",natural language inference,MSA,CC BY-NC 4.0,Low,https://arxiv.org/pdf/1809.05053,GitHub,multilingual,human annotation,other,text,
Arabic Punctuation Dataset,2024,Masader,"University of Sharjah,University of Waikato",punctuation detection,MSA,CC BY 4.0,Low,https://www.sciencedirect.com/science/article/pii/S2352340924000908,Mendeley Data,ar,"crawling,machine annotation",books,text,
PAN Arabic Intrinsic Plagiarism Detection Shared Task Corpus,2015,Masader,"MISC Lab. Constantine 2 university,PRHLT,Universitat Politècnica de València,",plagiarism detection,MSA,CC BY 4.0,Low,,zenodo,ar,crawling,wikipedia,text,
Arabic DEv2,2021,Masader,Bloomberg L.P.,entity retrieval,MSA,CC BY 4.0,Low,https://aclanthology.org/2021.wanlp-1.24.pdf,zenodo,ar,human annotation,other,text,
ar-embiddings: Arabic Word Embeddings for Sentiment Analysis,2016,Masader,Pace University,"sentiment analysis,embedding evaluation",MSA,Non Commercial Use - ELRA END USER,Low,,GitHub,ar,crawling,social media,text,
ATHAR,2024,Masader,"ADAPT/DCU,Dublin,Ireland",machine translation,MSA,CC BY-SA 4.0,Low,https://arxiv.org/pdf/2407.19835,HuggingFace,multilingual,other,other,text,
Commonsense-Explanation,2020,Masader,Jordan University of Science and Technology,commonsense reasoning,MSA,CC BY-SA 4.0,Low,https://arxiv.org/pdf/2012.10251,GitHub,ar,machine annotation,public datasets,text,
SANAD,2019,Masader,Sharjah University,topic classification,MSA,CC BY 4.0,Low,https://www.sciencedirect.com/science/article/pii/S2352340919304305,Mendeley Data,ar,crawling,news articles,text,
KUNUZ,2019,Masader,Joint group for Artificial Reasoning and Information Retrieval,"machine translation,named entity recognition,information retrieval,language identification,information extraction",MSA,CC BY-NC-ND 4.0,Low,https://ieeexplore.ieee.org/document/9035212,other,multilingual,manual curation,other,text,
MArSUM: Moroccan Articles Summarisation,2022,Masader,INSEA-Morocco (Institut Nationale de Statistiques et d'Economie Appliquée),summarization,Morocco,CC BY 4.0,Low,,GitHub,ar,crawling,news articles,text,
Arab States Analogy Dataset (ASAD),2023,Masader,Clarkson University,embedding evaluation,MSA,MIT License,Low,https://aclanthology.org/2023.arabicnlp-1.19.pdf,HuggingFace,ar,manual curation,other,text,
SERAG: Semantic Entity Retrieval from Arabic knowledge Graphs,2021,Masader,unknown,entity retrieval,MSA,CC BY 4.0,Low,https://aclanthology.org/2021.wanlp-1.24/,zenodo,ar,human annotation,other,text,
Egyptian_Arabic_Wikipedia_20230101,2023,Masader,Clarkson University,language modeling,Egypt,MIT License,Low,https://aclanthology.org/2023.arabicnlp-1.19.pdf,HuggingFace,ar,manual curation,wikipedia,text,
WojoodFine,2023,Masader,"SinaLab,Birzeit University","language modeling,tokenization,named entity recognition",Mixed,CC BY 4.0,Low,https://arxiv.org/abs/2310.17333,CAMeL Resources,ar,crawling,news articles,text,
Transliteration,2016,Masader,Google,transliteration,MSA,Apache-2.0,Low,https://arxiv.org/pdf/1610.09565,GitHub,multilingual,crawling,wikipedia,text,
Arabic-OpenHermes-2.5,2024,Masader,2A2I,instruction tuning,MSA,Apache-2.0,Low,,HuggingFace,ar,machine annotation,other,text,
Arabic News Tweets,2021,Masader,"Umm Al-Qura University,University of Technology Sydney",topic classification,MSA,CC BY 4.0,Low,,Mendeley Data,ar,crawling,social media,text,
CIDAR,2024,Masader,ARBML,instruction tuning,MSA,CC BY-NC 4.0,Low,https://arxiv.org/pdf/2402.03177,HuggingFace,ar,crawling,other,text,
